DOY,forc_st,forc_npp,forc_sw
238,22.559659863945576,4.330358426433,0.287
239,22.704398095669916,4.37414344781021,0.282
240,22.73228292904103,4.41792846918742,0.277
241,23.02141885766093,4.46171349056463,0.272
242,23.164965986394556,4.41337165700789,0.268
243,22.772564567285908,4.36502982345115,0.263
244,21.99820983457965,4.31668798989441,0.258
245,21.751858567543064,4.26834615633767,0.254
246,21.940462165835974,4.22000432278093,0.25
247,22.083673469387755,4.17166248922419,0.247
248,22.26855588301972,4.12332065566745,0.245
249,22.445524586449125,4.07497882211071,0.263
250,22.05608429639701,4.06982764312516,0.263
251,21.563041015182417,4.06467646413961,0.261
252,21.01447994561523,4.05952528515405,0.254
253,20.89848141432457,4.0543741061685,0.249
254,21.448719111312627,4.04922292718294,0.266
255,22.046237533998188,4.04407174819739,0.283
256,21.97961956521739,4.03892056921183,0.299
257,20.939233907524933,4.03376939022628,0.289
258,20.564536596419668,4.04209052551064,0.282
259,19.889526184538653,4.05041166079499,0.276
260,19.833333333333332,4.05873279607935,0.272
261,20.05663797009515,4.06705393136371,0.267
262,20.43645219755324,4.07537506664806,0.262
263,20.5918441323063,4.08369620193242,0.258
264,20.309721278042147,4.09201733721678,0.254
265,20.480253623188407,4.10033847250113,0.251
266,18.933484367920254,3.88101712107773,0.248
267,17.787695445275325,3.66169576965433,0.246
268,17.763673469387754,3.44237441823092,0.25
269,18.132313618853388,3.22305306680752,0.258
270,17.872082483571265,3.00373171538412,0.254
271,17.114563986409966,2.78441036396071,0.25
272,16.891245180312996,2.56508901253731,0.247
273,16.651733514615906,2.34576766111391,0.247
274,16.350158586316265,2.41986538959842,0.294
275,16.56530612244898,2.49396311808293,0.323
276,15.144434368623894,2.56806084656744,0.323
277,14.132017245291584,2.64215857505195,0.343
278,14.20333257764679,2.71625630353646,0.356
279,15.020693563009972,2.79035403202097,0.335
280,15.555462375339982,2.86445176050548,0.328
281,15.382940108892925,2.93854948898999,0.322
282,14.193761343012705,2.87019730629706,0.318
283,13.921074099252207,2.80184512360413,0.314
284,14.135032857466577,2.7334929409112,0.31
285,14.474444444444444,2.66514075821827,0.307
286,15.527097505668934,2.59678857552534,0.316
287,15.530013611615246,2.52843639283241,0.318
288,14.822818944029006,2.46008421013948,0.313
289,15.037159709618876,2.39173202744654,0.309
290,15.35562868815252,2.32337984475361,0.309
291,14.54485727231536,2.25502766206068,0.309
292,13.218888888888888,2.18667547936775,0.307
